STOCK CODE,SUBCATEGORY NAME,SHORT DESCRIPTION,IMAGE,MANUFACTURER,MANUFACTURER SKU,DBP,RRP
NWG-WGT25261,Subscriptions  Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for Firebox T25,https://www.leadersystems.com.au/Images/NWG-WGT25261.jpg,Watchguard,WGT25261,221,275
NWG-WGT26351,Subscriptions  Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox T25-W,https://www.leadersystems.com.au/Images/NWG-WGT26351.jpg,Watchguard,WGT26351,960,1197
NWG-WGT45173,Cloud  Server Security,WatchGuard APT Blocker 3-yr for Firebox T45,https://www.leadersystems.com.au/Images/NWG-WGT45173.jpg,Watchguard,WGT45173,815,1015
NWG-WGT45201,Subscriptions  Licensing,WatchGuard Standard Support Renewal 1-yr for Firebox T45,https://www.leadersystems.com.au/Images/NWG-WGT45201.jpg,Watchguard,WGT45201,255,318
NWG-WGT47171,Cloud  Server Security,WatchGuard APT Blocker 1-yr for Firebox T45-PoE,https://www.leadersystems.com.au/Images/NWG-WGT47171.jpg,Watchguard,WGT47171,342,427
NWG-WGT47175,Cloud  Server Security,WatchGuard APT Blocker 5-yr for Firebox T45-PoE,https://www.leadersystems.com.au/Images/NWG-WGT47175.jpg,Watchguard,WGT47175,1493,1894
NWG-WGM59021801,Subscriptions  Licensing,WatchGuard Cloud 1-month data retention for M590 - 1-yr,https://www.leadersystems.com.au/Images/NWG-WGM59021801.jpg,Watchguard,WGM59021801,1884,2348
NWG-WGT48261,Subscriptions  Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for Firebox T45-W-PoE,https://www.leadersystems.com.au/Images/NWG-WGT48261.jpg,Watchguard,WGT48261,492,613
NWG-WGT48341,Subscriptions  Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox T45-W-PoE,https://www.leadersystems.com.au/Images/NWG-WGT48341.jpg,Watchguard,WGT48341,910,1135
NWG-WGM47201,Subscriptions  Licensing,WatchGuard Standard Support Renewal 1-yr for Firebox M470,https://www.leadersystems.com.au/Images/NWG-WGM47201.jpg,Watchguard,WGM47201,1029,1282
NWG-WGM47101,Cloud  Server Security,WatchGuard WebBlocker 1-yr for M470,https://www.leadersystems.com.au/Images/NWG-WGM47101.jpg,Watchguard,WGM47101,1331,1658
NWG-WGCME673,Firewalls  Network Security,Trade up to WatchGuard Firebox Cloud Medium with 3-yr Total Security Suite,https://www.leadersystems.com.au/Images/NWG-WGCME673.jpg,Watchguard,WGCME673,11373,15400
NWG-WGCLG671,Firewalls  Network Security,Trade up to WatchGuard Firebox Cloud Large with 1-yr Total Security Suite,https://www.leadersystems.com.au/Images/NWG-WGCLG671.jpg,Watchguard,WGCLG671,12262,16909
NWG-WGCXL001,Firewalls  Network Security,WatchGuard Firebox Cloud XLarge with 1-yr Standard Support - Only available to WGOne Silver/Gold Partners,https://www.leadersystems.com.au/Images/NWG-WGCXL001.jpg,Watchguard,WGCXL001,13885,19148
NWG-WGCXL063,Firewalls  Network Security,Trade up to WatchGuard Firebox Cloud XLarge with 3-yr Basic Security Suite,https://www.leadersystems.com.au/Images/NWG-WGCXL063.jpg,Watchguard,WGCXL063,25856,35656
NWG-WGVSM061,Firewalls  Network Security,Trade up to WatchGuard FireboxV Small with 1-yr Basic Security Suite,https://www.leadersystems.com.au/Images/NWG-WGVSM061.jpg,Watchguard,WGVSM061,1465,1984
NWG-WGVME643,Firewalls  Network Security,WatchGuard FireboxV Medium with 3-yr Total Security Suite,https://www.leadersystems.com.au/Images/NWG-WGVME643.jpg,Watchguard,WGVME643,12443,16849
NWG-WGVLG641,Firewalls  Network Security,WatchGuard FireboxV Large with 1-yr Total Security Suite,https://www.leadersystems.com.au/Images/NWG-WGVLG641.jpg,Watchguard,WGVLG641,14558,20075
NWG-WGM59040201,Subscriptions  Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox M590,https://www.leadersystems.com.au/Images/NWG-WGM59040201.jpg,Watchguard,WGM59040201,4546,5663
NWG-WGM69040303,Subscriptions  Licensing,WatchGuard Total Security Suite Renewal/Upgrade 3-yr for Firebox M690,https://www.leadersystems.com.au/Images/NWG-WGM69040303.jpg,Watchguard,WGM69040303,29015,36146
NWG-WGATH30103,Identity  Access Security,WatchGuard AuthPoint - 3 Year - 1 to 50 Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGATH30103.jpg,Watchguard,WGATH30103,85,106
