SKU,Name,Method of Delivery,Product Family,Product Group,url in dealershop
NWG-WGT126000,WatchGuard Firebox T125-W Appliance Only – License Not Included (Requires Separate WG License Purchase),Physical,T-Series,T125-W,https://partner.leadersystems.com.au/products.html?eMq1o8CIROI=ayNP3xEshvyXVCF9JmuMFA==uwerU+27po3bj2wBQagbXG4IjnKF
NWG-WGT1160081,WatchGuard Total Security Suite for Firebox T115-W - 1-Year (License ONLY; HW SKU: WGT116000),Electronic,T-Series,T115-W,https://partner.leadersystems.com.au/products.html?SAsAchbJ+PY=5MTpyEx3flL1Sxpk0j8XEw==mFXV/QnxcwJxD7a3SoOskNrjGGJDTw==
NWG-WGM2950211,Trade Up to WatchGuard Total Security Suite for Firebox M295 - 1-Year (License ONLY; HW SKU: WGM295000),Electronic,M-Series,M295,https://partner.leadersystems.com.au/products.html?InYidfXXDKM=WGj3OANdlvE7Tk6GN124ww==VOlbVz+QFQmv8BtQRsLkAuZVuAv7Lw==
NWG-WGM2950073,WatchGuard Basic Security Suite for Firebox M295 - 3-Year (License ONLY; HW SKU: WGM295000),Electronic,M-Series,M295,https://partner.leadersystems.com.au/products.html?tvFKAWyl2CI=K+/44aQgnl9la8TSGV3nIg==ulJJ61H/hzQhBZYBq+b2wuEkZHL+Qg==
NWG-WGM6950071,WatchGuard Basic Security Suite for Firebox M695 - 1-Year (License ONLY; HW SKU: WGM695000),Electronic,M-Series,M695,https://partner.leadersystems.com.au/products.html?EvEVNjp7JAI=OSEPtTiOmVJyyYM74rYW6A==nqG8H2APe2djs6zEMr93i4ypJtlNcA==
NWG-WGM5951603,WatchGuard High Availability for M595 - 3-Year (License ONLY; HW SKU: WGM595000),Electronic,M-Series,M595,https://partner.leadersystems.com.au/products.html?SHRqNaeHClw=rR+3MHFSCbxJ0PIDwf7w6Q==rZN2pQBZmHK9YxuMBown9+e1Rc5muQ==
NWG-WGM3950063,WatchGuard Standard Support for Firebox M395 - 3-Year (License ONLY; HW SKU: WGM395000),Electronic,M-Series,M395,https://partner.leadersystems.com.au/products.html?0nQTnHxROf8=uIsVxnzWwBL2wTfWmH8zxg==0j5gcApAW41STz8xbPQZyP3I+cRBzQ==
NWG-WGM2950081,WatchGuard Total Security Suite for Firebox M295 - 1-Year (License ONLY; HW SKU: WGM295000),Electronic,M-Series,M295,https://partner.leadersystems.com.au/products.html?zbDGfY5dWXw=Qold/klQvruZZIUyt3dRFQ==z2pnUyqXfug4QA9XBThH4iykWt/pTA==
NWG-WGM5950083,WatchGuard Total Security Suite for Firebox M595 - 3-Year (License ONLY; HW SKU: WGM595000),Electronic,M-Series,M595,https://partner.leadersystems.com.au/products.html?RoDMIscoshE=pBwIXCzV8Cw386AFAsuplQ==3xXqJDk2NPmKKxFZHGinkYYF4JEzxg==
NWG-WGT1250211,Trade Up to WatchGuard Total Security Suite for Firebox T125 - 1-Year (License ONLY; HW SKU: WGT125000),Electronic,T-Series,T125,https://partner.leadersystems.com.au/products.html?ar8CTxiGkw8=4vII0WzdS6MWSqvzaAJJNg==V1ohctlHZndV5rauRnpqC3siwlqUUQ==
